"","year","state","data_item","value","region","adj_value"
"1",2020,"ARKANSAS","CORN, GRAIN - PRODUCTION, MEASURED IN $",439714000,"south",431887294.927554
"2",2020,"ILLINOIS","CORN, GRAIN - PRODUCTION, MEASURED IN $",9270720000,"mid",9105705487.72788
"3",2020,"INDIANA","CORN, GRAIN - PRODUCTION, MEASURED IN $",4368788000,"mid",4291025601.71375
"4",2020,"IOWA","CORN, GRAIN - PRODUCTION, MEASURED IN $",9873660000,"mid",9697913435.62951
"5",2020,"KANSAS","CORN, GRAIN - PRODUCTION, MEASURED IN $",3295864000,"mid",3237199150.83238
"6",2020,"KENTUCKY","CORN, GRAIN - PRODUCTION, MEASURED IN $",1129944000,"mid",1109831521.35165
"7",2020,"MINNESOTA","CORN, GRAIN - PRODUCTION, MEASURED IN $",6056064000,"north",5948268872.19453
"8",2020,"MISSOURI","CORN, GRAIN - PRODUCTION, MEASURED IN $",2411784000,"mid",2368855364.41768
"9",2020,"NEBRASKA","CORN, GRAIN - PRODUCTION, MEASURED IN $",7607883000,"mid",7472466214.39237
"10",2020,"NORTH DAKOTA","CORN, GRAIN - PRODUCTION, MEASURED IN $",1051535000,"north",1032818165.152
"11",2020,"OKLAHOMA","CORN, GRAIN - PRODUCTION, MEASURED IN $",177120000,"south",173967346.224065
"12",2020,"SOUTH DAKOTA","CORN, GRAIN - PRODUCTION, MEASURED IN $",2952450000,"north",2899897760.60998
"13",2020,"TENNESSEE","CORN, GRAIN - PRODUCTION, MEASURED IN $",617100000,"south",606115906.475104
"14",2020,"TEXAS","CORN, GRAIN - PRODUCTION, MEASURED IN $",1019392000,"south",1001247295.63032
"15",2020,"WISCONSIN","CORN, GRAIN - PRODUCTION, MEASURED IN $",2144637000,"north",2106463457.00056
"16",2019,"ARKANSAS","CORN, GRAIN - PRODUCTION, MEASURED IN $",496493000,"south",496493000
"17",2019,"ILLINOIS","CORN, GRAIN - PRODUCTION, MEASURED IN $",6554010000,"mid",6554010000
"18",2019,"INDIANA","CORN, GRAIN - PRODUCTION, MEASURED IN $",3127987000,"mid",3127987000
"19",2019,"IOWA","CORN, GRAIN - PRODUCTION, MEASURED IN $",9043650000,"mid",9043650000
"20",2019,"KANSAS","CORN, GRAIN - PRODUCTION, MEASURED IN $",2850350000,"mid",2850350000
"21",2019,"KENTUCKY","CORN, GRAIN - PRODUCTION, MEASURED IN $",960596000,"mid",960596000
"22",2019,"MINNESOTA","CORN, GRAIN - PRODUCTION, MEASURED IN $",4088855000,"north",4088855000
"23",2019,"MISSOURI","CORN, GRAIN - PRODUCTION, MEASURED IN $",1700862000,"mid",1700862000
"24",2019,"NEBRASKA","CORN, GRAIN - PRODUCTION, MEASURED IN $",6284678000,"mid",6284678000
"25",2019,"NORTH DAKOTA","CORN, GRAIN - PRODUCTION, MEASURED IN $",1258792000,"north",1258792000
"26",2019,"OKLAHOMA","CORN, GRAIN - PRODUCTION, MEASURED IN $",180840000,"south",180840000
"27",2019,"SOUTH DAKOTA","CORN, GRAIN - PRODUCTION, MEASURED IN $",1850170000,"north",1850170000
"28",2019,"TENNESSEE","CORN, GRAIN - PRODUCTION, MEASURED IN $",608845000,"south",608845000
"29",2019,"TEXAS","CORN, GRAIN - PRODUCTION, MEASURED IN $",1200990000,"south",1200990000
"30",2019,"WISCONSIN","CORN, GRAIN - PRODUCTION, MEASURED IN $",1520245000,"north",1520245000
"31",2018,"ARKANSAS","CORN, GRAIN - PRODUCTION, MEASURED IN $",443631000,"south",451670525.678977
"32",2018,"ILLINOIS","CORN, GRAIN - PRODUCTION, MEASURED IN $",8210160000,"mid",8358945346.71498
"33",2018,"INDIANA","CORN, GRAIN - PRODUCTION, MEASURED IN $",3657830000,"mid",3724117563.79589
"34",2018,"IOWA","CORN, GRAIN - PRODUCTION, MEASURED IN $",8971410000,"mid",9133990795.9129
"35",2018,"KANSAS","CORN, GRAIN - PRODUCTION, MEASURED IN $",2299864000,"mid",2341542367.12528
"36",2018,"KENTUCKY","CORN, GRAIN - PRODUCTION, MEASURED IN $",819840000,"mid",834697223.081013
"37",2018,"MINNESOTA","CORN, GRAIN - PRODUCTION, MEASURED IN $",4711288000,"north",4796666435.81052
"38",2018,"MISSOURI","CORN, GRAIN - PRODUCTION, MEASURED IN $",1715616000,"mid",1746706566.00478
"39",2018,"NEBRASKA","CORN, GRAIN - PRODUCTION, MEASURED IN $",6392448000,"mid",6508292586.71177
"40",2018,"NORTH DAKOTA","CORN, GRAIN - PRODUCTION, MEASURED IN $",1488323000,"north",1515294539.35841
"41",2018,"OKLAHOMA","CORN, GRAIN - PRODUCTION, MEASURED IN $",139655000,"south",142185841.980605
"42",2018,"SOUTH DAKOTA","CORN, GRAIN - PRODUCTION, MEASURED IN $",2628288000,"north",2675918099.94285
"43",2018,"TENNESSEE","CORN, GRAIN - PRODUCTION, MEASURED IN $",423226000,"south",430895744.213121
"44",2018,"TEXAS","CORN, GRAIN - PRODUCTION, MEASURED IN $",780570000,"south",794715568.184458
"45",2018,"WISCONSIN","CORN, GRAIN - PRODUCTION, MEASURED IN $",1919245000,"north",1954025751.25893
"46",2017,"ARKANSAS","CORN, GRAIN - PRODUCTION, MEASURED IN $",396341000,"south",413379929.914821
"47",2017,"ILLINOIS","CORN, GRAIN - PRODUCTION, MEASURED IN $",7505240000,"mid",7827894629.1045
"48",2017,"INDIANA","CORN, GRAIN - PRODUCTION, MEASURED IN $",3332160000,"mid",3475411494.81121
"49",2017,"IOWA","CORN, GRAIN - PRODUCTION, MEASURED IN $",8625198000,"mid",8996000274.36337
"50",2017,"KANSAS","CORN, GRAIN - PRODUCTION, MEASURED IN $",2251392000,"mid",2348180650.42675
"51",2017,"KENTUCKY","CORN, GRAIN - PRODUCTION, MEASURED IN $",801320000,"mid",835769212.469424
"52",2017,"MINNESOTA","CORN, GRAIN - PRODUCTION, MEASURED IN $",4707100000,"north",4909460964.42723
"53",2017,"MISSOURI","CORN, GRAIN - PRODUCTION, MEASURED IN $",1884025000,"mid",1965020329.60953
"54",2017,"NEBRASKA","CORN, GRAIN - PRODUCTION, MEASURED IN $",5639055000,"mid",5881481251.4623
"55",2017,"NORTH DAKOTA","CORN, GRAIN - PRODUCTION, MEASURED IN $",1364869000,"north",1423545511.47348
"56",2017,"OKLAHOMA","CORN, GRAIN - PRODUCTION, MEASURED IN $",137964000,"south",143895152.534732
"57",2017,"SOUTH DAKOTA","CORN, GRAIN - PRODUCTION, MEASURED IN $",2276094000,"north",2373944603.76177
"58",2017,"TENNESSEE","CORN, GRAIN - PRODUCTION, MEASURED IN $",431006000,"south",449535198.40962
"59",2017,"TEXAS","CORN, GRAIN - PRODUCTION, MEASURED IN $",1160320000,"south",1210202831.09435
"60",2017,"WISCONSIN","CORN, GRAIN - PRODUCTION, MEASURED IN $",1682406000,"north",1754733611.6331
"61",2016,"ARKANSAS","CORN, GRAIN - PRODUCTION, MEASURED IN $",470088000,"south",500741229.335513
"62",2016,"ILLINOIS","CORN, GRAIN - PRODUCTION, MEASURED IN $",7736880000,"mid",8241382044.2584
"63",2016,"INDIANA","CORN, GRAIN - PRODUCTION, MEASURED IN $",3435105000,"mid",3659099361.38886
"64",2016,"IOWA","CORN, GRAIN - PRODUCTION, MEASURED IN $",9043650000,"mid",9633363154.72872
"65",2016,"KANSAS","CORN, GRAIN - PRODUCTION, MEASURED IN $",2235648000,"mid",2381428855.62167
"66",2016,"KENTUCKY","CORN, GRAIN - PRODUCTION, MEASURED IN $",832524000,"mid",886810748.649867
"67",2016,"MINNESOTA","CORN, GRAIN - PRODUCTION, MEASURED IN $",4956240000,"north",5279423662.12676
"68",2016,"MISSOURI","CORN, GRAIN - PRODUCTION, MEASURED IN $",1939700000,"mid",2066182847.76913
"69",2016,"NEBRASKA","CORN, GRAIN - PRODUCTION, MEASURED IN $",5643668000,"mid",6011677073.82766
"70",2016,"NORTH DAKOTA","CORN, GRAIN - PRODUCTION, MEASURED IN $",1555147000,"north",1656554135.77338
"71",2016,"OKLAHOMA","CORN, GRAIN - PRODUCTION, MEASURED IN $",143567000,"south",152928634.791808
"72",2016,"SOUTH DAKOTA","CORN, GRAIN - PRODUCTION, MEASURED IN $",2552124000,"north",2718541441.55279
"73",2016,"TENNESSEE","CORN, GRAIN - PRODUCTION, MEASURED IN $",458708000,"south",488619168.806765
"74",2016,"TEXAS","CORN, GRAIN - PRODUCTION, MEASURED IN $",1201484000,"south",1279829681.22341
"75",2016,"WISCONSIN","CORN, GRAIN - PRODUCTION, MEASURED IN $",1879965000,"north",2002552682.06748
"76",2015,"ARKANSAS","CORN, GRAIN - PRODUCTION, MEASURED IN $",331040000,"south",357074940.672329
"77",2015,"ILLINOIS","CORN, GRAIN - PRODUCTION, MEASURED IN $",7426125000,"mid",8010159327.57461
"78",2015,"INDIANA","CORN, GRAIN - PRODUCTION, MEASURED IN $",3222240000,"mid",3475655983.66362
"79",2015,"IOWA","CORN, GRAIN - PRODUCTION, MEASURED IN $",8819712000,"mid",9513346239.56932
"80",2015,"KANSAS","CORN, GRAIN - PRODUCTION, MEASURED IN $",2140790000,"mid",2309154368.78297
"81",2015,"KENTUCKY","CORN, GRAIN - PRODUCTION, MEASURED IN $",874242000,"mid",942997554.021442
"82",2015,"MINNESOTA","CORN, GRAIN - PRODUCTION, MEASURED IN $",4815056000,"north",5193740440.83477
"83",2015,"MISSOURI","CORN, GRAIN - PRODUCTION, MEASURED IN $",1613858000,"mid",1740781324.32203
"84",2015,"NEBRASKA","CORN, GRAIN - PRODUCTION, MEASURED IN $",6043118000,"mid",6518384489.26378
"85",2015,"NORTH DAKOTA","CORN, GRAIN - PRODUCTION, MEASURED IN $",1074790000,"north",1159317833.14769
"86",2015,"OKLAHOMA","CORN, GRAIN - PRODUCTION, MEASURED IN $",141952000,"south",153115943.62711
"87",2015,"SOUTH DAKOTA","CORN, GRAIN - PRODUCTION, MEASURED IN $",2639241000,"north",2846806499.19943
"88",2015,"TENNESSEE","CORN, GRAIN - PRODUCTION, MEASURED IN $",457856000,"south",493864499.868505
"89",2015,"TEXAS","CORN, GRAIN - PRODUCTION, MEASURED IN $",1116990000,"south",1204836690.37453
"90",2015,"WISCONSIN","CORN, GRAIN - PRODUCTION, MEASURED IN $",1702320000,"north",1836200498.44526
"91",2014,"ARKANSAS","CORN, GRAIN - PRODUCTION, MEASURED IN $",409324000,"south",442039414.142467
"92",2014,"ILLINOIS","CORN, GRAIN - PRODUCTION, MEASURED IN $",8718500000,"mid",9415330232.77672
"93",2014,"INDIANA","CORN, GRAIN - PRODUCTION, MEASURED IN $",4067850000,"mid",4392974833.67561
"94",2014,"IOWA","CORN, GRAIN - PRODUCTION, MEASURED IN $",8783054000,"mid",9485043741.7343
"95",2014,"KANSAS","CORN, GRAIN - PRODUCTION, MEASURED IN $",2140236000,"mid",2311295373.75433
"96",2014,"KENTUCKY","CORN, GRAIN - PRODUCTION, MEASURED IN $",890204000,"mid",961353975.40159
"97",2014,"MINNESOTA","CORN, GRAIN - PRODUCTION, MEASURED IN $",4216524000,"north",4553531673.38746
"98",2014,"MISSOURI","CORN, GRAIN - PRODUCTION, MEASURED IN $",2225527000,"mid",2403403297.23701
"99",2014,"NEBRASKA","CORN, GRAIN - PRODUCTION, MEASURED IN $",6039729000,"mid",6522457194.64108
"100",2014,"NORTH DAKOTA","CORN, GRAIN - PRODUCTION, MEASURED IN $",1047825000,"north",1131572908.31671
"101",2014,"OKLAHOMA","CORN, GRAIN - PRODUCTION, MEASURED IN $",175209000,"south",189212662.127037
"102",2014,"SOUTH DAKOTA","CORN, GRAIN - PRODUCTION, MEASURED IN $",2629782000,"north",2839968569.15892
"103",2014,"TENNESSEE","CORN, GRAIN - PRODUCTION, MEASURED IN $",537667000,"south",580640289.071097
"104",2014,"TEXAS","CORN, GRAIN - PRODUCTION, MEASURED IN $",1301778000,"south",1405823221.85738
"105",2014,"WISCONSIN","CORN, GRAIN - PRODUCTION, MEASURED IN $",1780537000,"north",1922847261.18914
"106",2013,"ARKANSAS","CORN, GRAIN - PRODUCTION, MEASURED IN $",828518000,"south",909252333.1379
"107",2013,"ILLINOIS","CORN, GRAIN - PRODUCTION, MEASURED IN $",9493808000,"mid",10418925206.65
"108",2013,"INDIANA","CORN, GRAIN - PRODUCTION, MEASURED IN $",4612638000,"mid",5062113150.73485
"109",2013,"IOWA","CORN, GRAIN - PRODUCTION, MEASURED IN $",9609498000,"mid",10545888534.4482
"110",2013,"KANSAS","CORN, GRAIN - PRODUCTION, MEASURED IN $",2262960000,"mid",2483472489.18882
"111",2013,"KENTUCKY","CORN, GRAIN - PRODUCTION, MEASURED IN $",1135277000,"mid",1245903240.49423
"112",2013,"MINNESOTA","CORN, GRAIN - PRODUCTION, MEASURED IN $",5565318000,"north",6107626359.54119
"113",2013,"MISSOURI","CORN, GRAIN - PRODUCTION, MEASURED IN $",1988864000,"mid",2182667404.08051
"114",2013,"NEBRASKA","CORN, GRAIN - PRODUCTION, MEASURED IN $",7214357000,"mid",7917354763.97584
"115",2013,"NORTH DAKOTA","CORN, GRAIN - PRODUCTION, MEASURED IN $",1548360000,"north",1699238812.5996
"116",2013,"OKLAHOMA","CORN, GRAIN - PRODUCTION, MEASURED IN $",228796000,"south",251090859.598245
"117",2013,"SOUTH DAKOTA","CORN, GRAIN - PRODUCTION, MEASURED IN $",3251421000,"north",3568253351.48248
"118",2013,"TENNESSEE","CORN, GRAIN - PRODUCTION, MEASURED IN $",615373000,"south",675337573.836741
"119",2013,"TEXAS","CORN, GRAIN - PRODUCTION, MEASURED IN $",1363128000,"south",1495957015.25567
"120",2013,"WISCONSIN","CORN, GRAIN - PRODUCTION, MEASURED IN $",1924353000,"north",2111870176.66595
"121",2012,"ARKANSAS","CORN, GRAIN - PRODUCTION, MEASURED IN $",842465000,"south",938101621.589495
"122",2012,"ILLINOIS","CORN, GRAIN - PRODUCTION, MEASURED IN $",8836538000,"mid",9839661739.1075
"123",2012,"INDIANA","CORN, GRAIN - PRODUCTION, MEASURED IN $",4316093000,"mid",4806055850.66569
"124",2012,"IOWA","CORN, GRAIN - PRODUCTION, MEASURED IN $",12988148000,"mid",14462562480.6305
"125",2012,"KANSAS","CORN, GRAIN - PRODUCTION, MEASURED IN $",2641760000,"mid",2941652578.86116
"126",2012,"KENTUCKY","CORN, GRAIN - PRODUCTION, MEASURED IN $",724118000,"mid",806319870.881452
"127",2012,"MINNESOTA","CORN, GRAIN - PRODUCTION, MEASURED IN $",9167582000,"north",10208285851.94
"128",2012,"MISSOURI","CORN, GRAIN - PRODUCTION, MEASURED IN $",1816650000,"mid",2022876096.76432
"129",2012,"NEBRASKA","CORN, GRAIN - PRODUCTION, MEASURED IN $",8851570000,"mid",9856400171.65453
"130",2012,"NORTH DAKOTA","CORN, GRAIN - PRODUCTION, MEASURED IN $",2726895000,"north",3036452103.53461
"131",2012,"OKLAHOMA","CORN, GRAIN - PRODUCTION, MEASURED IN $",228448000,"south",254381415.547087
"132",2012,"SOUTH DAKOTA","CORN, GRAIN - PRODUCTION, MEASURED IN $",3597216000,"north",4005571938.07182
"133",2012,"TENNESSEE","CORN, GRAIN - PRODUCTION, MEASURED IN $",594048000,"south",661484325.285913
"134",2012,"TEXAS","CORN, GRAIN - PRODUCTION, MEASURED IN $",1423644000,"south",1585256058.075
"135",2012,"WISCONSIN","CORN, GRAIN - PRODUCTION, MEASURED IN $",2649240000,"north",2949981708.4149
"136",2011,"ARKANSAS","CORN, GRAIN - PRODUCTION, MEASURED IN $",459716000,"south",522495956.137771
"137",2011,"ILLINOIS","CORN, GRAIN - PRODUCTION, MEASURED IN $",12118438000,"mid",13773361922.8095
"138",2011,"INDIANA","CORN, GRAIN - PRODUCTION, MEASURED IN $",5297245000,"mid",6020649903.79066
"139",2011,"IOWA","CORN, GRAIN - PRODUCTION, MEASURED IN $",14609680000,"mid",16604814103.6354
"140",2011,"KANSAS","CORN, GRAIN - PRODUCTION, MEASURED IN $",2822232000,"mid",3207642995.42024
"141",2011,"KENTUCKY","CORN, GRAIN - PRODUCTION, MEASURED IN $",1138410000,"mid",1293874090.58375
"142",2011,"MINNESOTA","CORN, GRAIN - PRODUCTION, MEASURED IN $",7268415000,"north",8261007763.55645
"143",2011,"MISSOURI","CORN, GRAIN - PRODUCTION, MEASURED IN $",2225280000,"mid",2529169751.05121
"144",2011,"NEBRASKA","CORN, GRAIN - PRODUCTION, MEASURED IN $",9384960000,"mid",10666593393.562
"145",2011,"NORTH DAKOTA","CORN, GRAIN - PRODUCTION, MEASURED IN $",1256703000,"north",1428321475.7942
"146",2011,"OKLAHOMA","CORN, GRAIN - PRODUCTION, MEASURED IN $",108726000,"south",123573891.983388
"147",2011,"SOUTH DAKOTA","CORN, GRAIN - PRODUCTION, MEASURED IN $",3940002000,"north",4478058436.45801
"148",2011,"TENNESSEE","CORN, GRAIN - PRODUCTION, MEASURED IN $",631630000,"south",717886957.981232
"149",2011,"TEXAS","CORN, GRAIN - PRODUCTION, MEASURED IN $",884220000,"south",1004971274.30009
"150",2011,"WISCONSIN","CORN, GRAIN - PRODUCTION, MEASURED IN $",3097892000,"north",3520947808.10664
"151",2010,"ARKANSAS","CORN, GRAIN - PRODUCTION, MEASURED IN $",259350000,"south",304072820.967598
"152",2010,"ILLINOIS","CORN, GRAIN - PRODUCTION, MEASURED IN $",10201232000,"mid",11960352387.0635
"153",2010,"INDIANA","CORN, GRAIN - PRODUCTION, MEASURED IN $",4831455000,"mid",5664600544.546
"154",2010,"IOWA","CORN, GRAIN - PRODUCTION, MEASURED IN $",11261498000,"mid",13203452728.6715
"155",2010,"KANSAS","CORN, GRAIN - PRODUCTION, MEASURED IN $",2854170000,"mid",3346348654.02386
"156",2010,"KENTUCKY","CORN, GRAIN - PRODUCTION, MEASURED IN $",785478000,"mid",920927361.742768
"157",2010,"MINNESOTA","CORN, GRAIN - PRODUCTION, MEASURED IN $",6473421000,"north",7589710371.23921
"158",2010,"MISSOURI","CORN, GRAIN - PRODUCTION, MEASURED IN $",1974150000,"mid",2314576284.99396
"159",2010,"NEBRASKA","CORN, GRAIN - PRODUCTION, MEASURED IN $",7477719000,"mid",8767191481.52306
"160",2010,"NORTH DAKOTA","CORN, GRAIN - PRODUCTION, MEASURED IN $",1243282000,"north",1457675978.40076
"161",2010,"OKLAHOMA","CORN, GRAIN - PRODUCTION, MEASURED IN $",202803000,"south",237774745.751655
"162",2010,"SOUTH DAKOTA","CORN, GRAIN - PRODUCTION, MEASURED IN $",2899773000,"north",3399815524.48689
"163",2010,"TENNESSEE","CORN, GRAIN - PRODUCTION, MEASURED IN $",354931000,"south",416135995.445732
"164",2010,"TEXAS","CORN, GRAIN - PRODUCTION, MEASURED IN $",1398758000,"south",1639962563.75938
"165",2010,"WISCONSIN","CORN, GRAIN - PRODUCTION, MEASURED IN $",2646594000,"north",3102977842.82213
"166",2009,"ARKANSAS","CORN, GRAIN - PRODUCTION, MEASURED IN $",229977000,"south",274056809.374374
"167",2009,"ILLINOIS","CORN, GRAIN - PRODUCTION, MEASURED IN $",7247796000,"mid",8636984771.33082
"168",2009,"INDIANA","CORN, GRAIN - PRODUCTION, MEASURED IN $",3417196000,"mid",4072171707.4615
"169",2009,"IOWA","CORN, GRAIN - PRODUCTION, MEASURED IN $",8642207000,"mid",10298663241.8584
"170",2009,"KANSAS","CORN, GRAIN - PRODUCTION, MEASURED IN $",2088067000,"mid",2488287871.30852
"171",2009,"KENTUCKY","CORN, GRAIN - PRODUCTION, MEASURED IN $",709665000,"mid",845686854.010031
"172",2009,"MINNESOTA","CORN, GRAIN - PRODUCTION, MEASURED IN $",4317027000,"north",5144473776.08641
"173",2009,"MISSOURI","CORN, GRAIN - PRODUCTION, MEASURED IN $",1599401000,"mid",1905959008.81472
"174",2009,"NEBRASKA","CORN, GRAIN - PRODUCTION, MEASURED IN $",5671257000,"mid",6758269733.76504
"175",2009,"NORTH DAKOTA","CORN, GRAIN - PRODUCTION, MEASURED IN $",636318000,"north",758281396.954838
"176",2009,"OKLAHOMA","CORN, GRAIN - PRODUCTION, MEASURED IN $",124656000,"south",148548879.363467
"177",2009,"SOUTH DAKOTA","CORN, GRAIN - PRODUCTION, MEASURED IN $",2282576000,"north",2720078510.95771
"178",2009,"TENNESSEE","CORN, GRAIN - PRODUCTION, MEASURED IN $",318718000,"south",379806842.293715
"179",2009,"TEXAS","CORN, GRAIN - PRODUCTION, MEASURED IN $",974590000,"south",1161390164.44327
"180",2009,"WISCONSIN","CORN, GRAIN - PRODUCTION, MEASURED IN $",1600395000,"north",1907143529.3038
"181",2008,"ARKANSAS","CORN, GRAIN - PRODUCTION, MEASURED IN $",288891000,"south",343038872.090431
"182",2008,"ILLINOIS","CORN, GRAIN - PRODUCTION, MEASURED IN $",8541701000,"mid",10142702530.6213
"183",2008,"INDIANA","CORN, GRAIN - PRODUCTION, MEASURED IN $",3581760000,"mid",4253102071.36471
"184",2008,"IOWA","CORN, GRAIN - PRODUCTION, MEASURED IN $",8974080000,"mid",10656123871.1116
"185",2008,"KANSAS","CORN, GRAIN - PRODUCTION, MEASURED IN $",1989095000,"mid",2361918181.185
"186",2008,"KENTUCKY","CORN, GRAIN - PRODUCTION, MEASURED IN $",664115000,"mid",788592446.764823
"187",2008,"MINNESOTA","CORN, GRAIN - PRODUCTION, MEASURED IN $",4572288000,"north",5429288272.71397
"188",2008,"MISSOURI","CORN, GRAIN - PRODUCTION, MEASURED IN $",1568376000,"mid",1862342316.14589
"189",2008,"NEBRASKA","CORN, GRAIN - PRODUCTION, MEASURED IN $",5644283000,"mid",6702211124.88514
"190",2008,"NORTH DAKOTA","CORN, GRAIN - PRODUCTION, MEASURED IN $",1066648000,"north",1266573644.86091
"191",2008,"OKLAHOMA","CORN, GRAIN - PRODUCTION, MEASURED IN $",156992000,"south",186417571.358128
"192",2008,"SOUTH DAKOTA","CORN, GRAIN - PRODUCTION, MEASURED IN $",2212056000,"north",2626669557.86394
"193",2008,"TENNESSEE","CORN, GRAIN - PRODUCTION, MEASURED IN $",336760000,"south",399880129.755422
"194",2008,"TEXAS","CORN, GRAIN - PRODUCTION, MEASURED IN $",1154583000,"south",1370990616.02745
"195",2008,"WISCONSIN","CORN, GRAIN - PRODUCTION, MEASURED IN $",1534838000,"north",1822518169.0033
"196",2007,"ARKANSAS","CORN, GRAIN - PRODUCTION, MEASURED IN $",378898000,"south",467188940.003031
"197",2007,"ILLINOIS","CORN, GRAIN - PRODUCTION, MEASURED IN $",9340538000,"mid",11517073321.258
"198",2007,"INDIANA","CORN, GRAIN - PRODUCTION, MEASURED IN $",4306502000,"mid",5310004551.35929
"199",2007,"IOWA","CORN, GRAIN - PRODUCTION, MEASURED IN $",10196901000,"mid",12572986316.9134
"200",2007,"KANSAS","CORN, GRAIN - PRODUCTION, MEASURED IN $",2097379000,"mid",2586110963.35852
"201",2007,"KENTUCKY","CORN, GRAIN - PRODUCTION, MEASURED IN $",710093000,"mid",875559110.825531
"202",2007,"MINNESOTA","CORN, GRAIN - PRODUCTION, MEASURED IN $",4733393000,"north",5836369836.44085
"203",2007,"MISSOURI","CORN, GRAIN - PRODUCTION, MEASURED IN $",1909026000,"mid",2353867883.64738
"204",2007,"NEBRASKA","CORN, GRAIN - PRODUCTION, MEASURED IN $",6094080000,"mid",7514124581.0051
"205",2007,"NORTH DAKOTA","CORN, GRAIN - PRODUCTION, MEASURED IN $",1106756000,"north",1364652657.13198
"206",2007,"OKLAHOMA","CORN, GRAIN - PRODUCTION, MEASURED IN $",159341000,"south",196470693.666958
"207",2007,"SOUTH DAKOTA","CORN, GRAIN - PRODUCTION, MEASURED IN $",2260474000,"north",2787210415.37409
"208",2007,"TENNESSEE","CORN, GRAIN - PRODUCTION, MEASURED IN $",318212000,"south",392361867.775086
"209",2007,"TEXAS","CORN, GRAIN - PRODUCTION, MEASURED IN $",1268286000,"south",1563822432.31868
"210",2007,"WISCONSIN","CORN, GRAIN - PRODUCTION, MEASURED IN $",1819908000,"north",2243983577.17126
"211",2006,"ARKANSAS","CORN, GRAIN - PRODUCTION, MEASURED IN $",71744000,"south",90985336.86743
"212",2006,"ILLINOIS","CORN, GRAIN - PRODUCTION, MEASURED IN $",5579572000,"mid",7075981796.33252
"213",2006,"INDIANA","CORN, GRAIN - PRODUCTION, MEASURED IN $",2677572000,"mid",3395681735.15274
"214",2006,"IOWA","CORN, GRAIN - PRODUCTION, MEASURED IN $",6211803000,"mid",7877773590.94994
"215",2006,"KANSAS","CORN, GRAIN - PRODUCTION, MEASURED IN $",1062600000,"mid",1347583337.35687
"216",2006,"KENTUCKY","CORN, GRAIN - PRODUCTION, MEASURED IN $",482851000,"mid",612348919.655657
"217",2006,"MINNESOTA","CORN, GRAIN - PRODUCTION, MEASURED IN $",3187237000,"north",4042036018.6404
"218",2006,"MISSOURI","CORN, GRAIN - PRODUCTION, MEASURED IN $",1110596000,"mid",1408451594.33012
"219",2006,"NEBRASKA","CORN, GRAIN - PRODUCTION, MEASURED IN $",3.534e+09,"mid",4481798902.89777
"220",2006,"NORTH DAKOTA","CORN, GRAIN - PRODUCTION, MEASURED IN $",430458000,"north",545904412.038361
"221",2006,"OKLAHOMA","CORN, GRAIN - PRODUCTION, MEASURED IN $",73227000,"south",92866069.1178538
"222",2006,"SOUTH DAKOTA","CORN, GRAIN - PRODUCTION, MEASURED IN $",899539000,"north",1140790295.22178
"223",2006,"TENNESSEE","CORN, GRAIN - PRODUCTION, MEASURED IN $",183125000,"south",232238093.970898
"224",2006,"TEXAS","CORN, GRAIN - PRODUCTION, MEASURED IN $",561440000,"south",712015046.984416
"225",2006,"WISCONSIN","CORN, GRAIN - PRODUCTION, MEASURED IN $",1217216000,"north",1543666478.03894
"226",2005,"ARKANSAS","CORN, GRAIN - PRODUCTION, MEASURED IN $",64780000,"south",84803861.4977598
"227",2005,"ILLINOIS","CORN, GRAIN - PRODUCTION, MEASURED IN $",3554408000,"mid",4653095457.52592
"228",2005,"INDIANA","CORN, GRAIN - PRODUCTION, MEASURED IN $",1777160000,"mid",2326490128.11607
"229",2005,"IOWA","CORN, GRAIN - PRODUCTION, MEASURED IN $",4195250000,"mid",5492025315.66034
"230",2005,"KANSAS","CORN, GRAIN - PRODUCTION, MEASURED IN $",964103000,"mid",1262112647.13761
